id,name,lat,long,max_volt,node_synth
123345,AQUASCO,38.6115652920001,-76.72455801,230.0,0
146173,OAK GROVE,38.8567577470001,-76.800834188,230.0,0
139737,TAP139737,42.346704673,-71.820213361,69.0,0
139771,WACHUSETT,42.360306919,-71.775906263,345.0,0
125726,WHEELABRATOR FRACKVILLE ENERGY,40.7826500690001,-76.1761115899999,69.0,0
138507,TAP138507,40.792712179,-76.200450438,69.0,0
122632,UNKNOWN122632,36.648479122,-87.436834851,161.0,0
122634,ELKTON,36.8212520000001,-87.15007,69.0,0
130766,UNKNOWN130766,46.681754621,-93.273851357,69.0,0
136150,TAP136150,46.681028998,-93.274683236,69.0,0
145170,UNKNOWN145170,42.1763298450001,-78.74479787,,0
145582,UNKNOWN145582,42.110330672,-78.8998234809999,,0
122894,LIME KILN,39.3624501900001,-77.435994939,230.0,0
146349,DOUBS,39.296426432,-77.514762,500.0,0
128300,"PCA, FILER CITY MILL",44.215945149,-86.286089208,138.0,0
146039,TAP146039,44.2130270000001,-86.287291,138.0,0
122308,UNKNOWN122308,42.119416109,-88.057526546,138.0,0
144518,PROSPECT HEIGHTS,42.1151901380001,-87.919874944,345.0,0
148643,SE POLK,41.5416883340001,-93.527245716,345.0,0
148647,GREATER DES MOINES ENERGY CENTER,41.5562344210001,-93.526053486,345.0,0
114286,UNKNOWN114286,35.21914615,-80.831774938,100.0,0
154237,NORTH CHARLOTTE,35.244551164,-80.814057103,100.0,0
118594,UNKNOWN118594,35.246922565,-96.953680696,138.0,0
118875,MAUD,35.1313029780001,-96.808118225,138.0,0
125086,UNKNOWN125086,39.491711862,-85.725457148,345.0,0
151164,GWYNNEVILLE,39.612988117,-85.6534960769999,345.0,0
133190,UNKNOWN133190,40.03609707,-74.279928922,230.0,0
141141,TAP141141,40.110249869,-74.313778812,230.0,0
115159,UNKNOWN115159,35.7805726290001,-78.554408698,230.0,0
147179,TAP147179,35.689356817,-78.572669343,115.0,0
149137,BUD CROCKETT DRIVE,35.719711223,-88.379361546,161.0,0
154777,TAP154777,35.6899596440001,-88.471723888,161.0,0
116053,UNKNOWN116053,33.9884548640001,-83.400216068,115.0,0
153091,TAP153091,34.0462213000001,-83.3973106999999,115.0,0
149453,SOUTH JACKSON,35.580237643,-88.8063639649999,161.0,0
154779,TAP154779,35.6600885,-88.7698081,161.0,0
143949,LINTON,40.242925901,-74.925501519,230.0,0
143953,BUCKINGHAM,40.281362976,-75.062516407,230.0,0
143774,UNKNOWN143774,45.007981595,-84.165654689,138.0,0
143775,TAP143775,45.324815383,-84.2286970179999,69.0,0
108234,UNKNOWN108234,29.106261497,-82.201013917,69.0,0
151637,TAP151637,29.1066260000001,-82.201855,69.0,0
132179,UNKNOWN132179,45.2516625430001,-93.6746349919999,115.0,0
132863,NSP,45.217899962,-93.5481532269999,115.0,0
131709,UNKNOWN131709,40.7361751290001,-96.645345445,115.0,0
131712,UNKNOWN131712,40.729644734,-96.599454951,115.0,0
119598,UNKNOWN119598,39.8007336900001,-101.409697356,115.0,0
140629,TAP140629,39.8001782750001,-101.335740952,115.0,0
123667,UNKNOWN123667,41.2115505800001,-75.927820001,69.0,0
128055,UNKNOWN128055,41.2430421060001,-75.9339383069999,69.0,0
155140,TAP155140,34.2041258,-86.7422485,,0
136435,BERLIN,41.631825646,-72.723110461,115.0,0
152265,WHEELER ROAD,27.9720174230001,-82.247831918,69.0,0
154505,TAP154505,27.9381558260001,-82.252658539,69.0,0
114054,UNKNOWN114054,34.9629727130001,-78.940358836,115.0,0
147221,TAP147221,34.963036017,-78.9407807169999,115.0,0
109555,UNKNOWN109555,35.219816614,-83.376465958,161.0,0
154627,WEBSTER TIE,35.34207703,-83.245159972,161.0,0
150734,UNKNOWN150734,28.9443537270001,-81.25663568,115.0,0
150770,ORANGE CITY,28.9118156330001,-81.2906372579999,115.0,0
147950,TAP147950,37.151538316,-76.473836793,115.0,0
147955,TAP147955,37.1512782020001,-76.4994057329999,115.0,0
146429,DRAVOSBURG,40.3757144300001,-79.891966553,,0
146441,UNKNOWN146441,40.3971065540001,-79.9248183839999,,0
118627,UNKNOWN118627,40.566533109,-94.6230685469999,69.0,0
118631,UNKNOWN118631,40.42368836,-94.382571747,69.0,0
113574,UNKNOWN113574,36.505648202,-79.718065705,100.0,0
113575,UNKNOWN113575,36.4958583590001,-79.719639145,100.0,0
120918,UNKNOWN120918,33.897619638,-80.323966233,230.0,0
142300,TAP142300,33.7197780860001,-80.178447713,,0
110137,UNKNOWN110137,34.019061849,-86.329371372,230.0,0
145873,TAP145873,34.1090444600001,-86.1165244219999,230.0,0
120314,C D MCINTOSH JR,28.0811959050001,-81.923837486,230.0,0
151543,LAKE AGNES,28.1550300660001,-81.827008545,230.0,0
122446,SILVER GROVE,39.0255530000001,-84.376675,345.0,0
122452,UNKNOWN122452,39.059781,-84.4875919999999,138.0,0
116548,UNKNOWN116548,30.817224848,-92.7896252959999,138.0,0
149771,TAP149771,30.8175819300001,-92.78989133,138.0,0
149963,TAP149963,34.431725354,-92.829723966,500.0,0
149964,TAP149964,34.4317234920001,-92.829386268,500.0,0
154235,PARK ROAD,35.151723686,-80.8494953639999,100.0,0
121061,WOODLAWN,36.5375162510001,-87.4922988229999,161.0,0
131897,UNKNOWN131897,40.865135206,-96.7145632359999,115.0,0
131900,UNKNOWN131900,40.8860234970001,-96.693350429,115.0,0
117143,FULTON (MO),38.8681094310001,-91.948179302,69.0,0
121056,UNKNOWN121056,38.862525942,-91.925221363,69.0,0
153382,PORT UNION SUBSTATION,39.3276184650001,-84.449405461,345.0,0
155520,FOSTER,39.305894428,-84.249376485,345.0,0
124164,UNKNOWN124164,43.871604436,-75.135936525,115.0,0
124528,UNKNOWN124528,43.919637842,-75.247331048,115.0,0
149503,NEW ALBANY,34.4827010490001,-88.992261818,161.0,0
149914,TAP149914,34.4108307000001,-88.8656814999999,161.0,0
133191,CEDAR STATION,39.6902561580001,-74.2613148459999,230.0,0
141125,OYSTER CREEK,39.8137215530001,-74.209179046,230.0,0
150296,HICPOCHEE,26.7675546840001,-81.081828389,138.0,0
150773,ORTONA,26.8128512870001,-81.246740421,,0
114410,UNKNOWN114410,34.991975999,-80.573047967,100.0,0
114413,UNKNOWN114413,34.992708566,-80.562556208,100.0,0
135465,UNKNOWN135465,40.8177710000001,-72.969035,69.0,0
135467,UNKNOWN135467,40.8209880000001,-72.966375,69.0,0
133467,UNKNOWN133467,42.2850238400001,-73.240665828,115.0,0
136134,TAP136134,42.3031719860001,-73.222331014,115.0,0
143095,TAP143095,26.6492978590001,-80.740700046,138.0,0
152727,MCCARTHY,26.6899671310001,-80.943290529,138.0,0
149606,TAP149606,34.4840129930001,-96.216717968,138.0,0
149607,TAP149607,34.5225178750001,-96.28677522,138.0,0
127877,UNKNOWN127877,37.930858813,-87.880852523,69.0,0
139501,TAP139501,37.9327477370001,-87.88273874,69.0,0
143052,TAP143052,30.814649725,-89.051621258,69.0,0
143371,TAP143371,30.842677838,-89.1796755249999,69.0,0
151248,JUDICE,30.1565015470001,-92.128010537,138.0,0
151249,SCOTT,30.2551917480001,-92.112873028,138.0,0
149295,TAP149295,36.1479449190001,-95.7617894099999,138.0,0
149296,TAP149296,36.1478652070001,-95.7532491279999,138.0,0
139767,CANTON STREET,42.564156971,-71.7898513819999,,0
139768,SUMMER STREET,42.5717885560001,-71.782727639,,0
122381,UNKNOWN122381,38.440206,-84.399571,138.0,0
140104,TAP140104,38.8645605780001,-84.652744024,138.0,0
148986,TAP148986,35.9306970480001,-95.119967284,69.0,0
148987,TAP148987,36.0712778610001,-95.1331094939999,69.0,0
108510,UNKNOWN108510,27.616105496,-81.942496933,,0
151599,TAP151599,27.586320061,-81.938076985,,0
132716,UNKNOWN132716,43.0565855610001,-71.444186781,115.0,0
132761,GREGGS,43.0159558120001,-71.569006509,115.0,0
119528,UNKNOWN119528,37.5916340860001,-101.399665343,69.0,0
148885,TAP148885,37.5916326500001,-101.39987902,69.0,0
150611,MITCHELL,25.642916557,-80.340418412,138.0,0
115503,DAVIS,36.85186452,-76.1756248409999,115.0,0
125458,UNKNOWN125458,38.4148113790001,-85.748710279,,0
139011,TAP139011,38.4189851680001,-85.7399790329999,,0
108887,AFFINITY,37.7226351640001,-81.226578156,138.0,0
108888,CHERRY CREEK,37.7004752020001,-81.1017772009999,138.0,0
129453,UNKNOWN129453,44.0379141710001,-93.190919981,69.0,0
138577,TAP138577,44.0370761710001,-93.246159464,69.0,0
150459,TAP150459,28.0524790000001,-82.410759,69.0,0
152792,TAP152792,28.052597,-82.392394,69.0,0
